City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
177,mount isa,-20.7333,139.5,14.870000000000005,72,75,3.6,AU,1690314082
178,san antonio de pale,-1.4014,5.6325,22.910000000000025,89,30,4.29,GQ,1690314211
179,al burayqah,30.4062,19.5739,28.58000000000004,72,0,7.58,LY,1690313669
180,neiafu,-18.65,-173.9833,18.379999999999995,94,40,0.0,TO,1690314212
181,dhuusamarreeb,5.535,46.3861,25.25,59,86,10.59,SO,1690314212
182,cidreira,-30.1811,-50.2056,17.950000000000045,92,82,3.17,BR,1690314213
183,manta,-0.95,-80.7333,30.879999999999995,69,20,4.63,EC,1690314213
184,konarka,19.9,86.1167,27.220000000000027,85,74,6.19,IN,1690314213
185,nemuro,43.3236,145.575,16.160000000000025,100,94,1.24,JP,1690314214
186,tchintabaraden,15.8969,5.7985,35.98000000000002,31,9,3.81,NE,1690314214
187,fort bragg,35.139,-79.006,36.01000000000005,50,88,0.89,US,1690314214
188,vuktyl,63.8567,57.3094,14.220000000000027,92,31,2.0,RU,1690313625
189,vorkuta,67.5,64.0,16.25,84,100,2.74,RU,1690314215
190,raja,8.4596,25.678,22.100000000000023,93,100,2.2,SS,1690313897
191,acajutla,13.5928,-89.8275,31.980000000000018,56,70,3.12,SV,1690314216
192,labytnangi,66.6572,66.4183,16.810000000000002,87,100,3.41,RU,1690313892
193,bubaque,11.2833,-15.8333,27.670000000000016,77,100,5.03,GW,1690313957
194,baiti,13.745,-14.7482,30.980000000000018,62,100,3.25,SN,1690314216
195,callao,-12.0667,-77.15,23.730000000000018,68,100,4.12,PE,1690314061
196,saipan,15.1355,145.701,28.390000000000043,100,100,6.17,MP,1690313932
197,dobroye,52.8678,39.8109,20.420000000000016,65,100,4.62,RU,1690314217
198,berezovyy,51.6667,135.7,18.120000000000005,95,90,1.07,RU,1690313986
199,pogar,52.554,33.2591,20.220000000000027,73,40,3.75,RU,1690314218
200,tailai,46.3833,123.4,20.439999999999998,86,27,3.13,CN,1690314218
201,sola,-13.8833,167.55,25.310000000000002,82,93,12.06,VU,1690314218
202,guercif,34.2257,-3.3536,30.74000000000001,26,3,4.51,MA,1690314219
203,rhar el melah,37.1694,10.1906,29.82000000000005,75,78,8.53,TN,1690314219
204,fortaleza,-3.7227,-38.5247,29.07000000000005,61,0,6.69,BR,1690314117
205,coyhaique,-45.5752,-72.0662,2.9700000000000273,87,75,0.0,CL,1690313924
206,mongoumba,3.6415,18.5936,22.28000000000003,98,97,0.77,CF,1690314219
207,biltine,14.5333,20.9167,34.79000000000002,26,78,3.37,TD,1690313673
208,howard springs,-12.497,131.047,15.950000000000045,47,10,3.54,AU,1690313815
209,nuevo casas grandes,30.4167,-107.9167,36.07000000000005,13,1,6.92,MX,1690314220
210,codrington,-38.2667,141.9667,6.189999999999998,94,99,3.25,AU,1690314002
211,vetlanda,57.4289,15.0776,15.03000000000003,77,0,3.35,SE,1690314221
212,coahuayana de hidalgo,18.7,-103.6583,32.64000000000004,57,77,2.96,MX,1690313702
213,ishinomaki,38.4167,141.3,23.189999999999998,89,10,2.44,JP,1690314221
214,darwin,-12.4611,130.8418,16.610000000000014,41,13,4.92,AU,1690314221
215,obo,5.3998,26.4869,19.860000000000014,97,69,2.13,CF,1690314221
216,rongelap,11.1635,166.8941,28.52000000000004,77,100,7.49,MH,1690314222
217,ambon,-3.6954,128.1814,26.08000000000004,95,40,2.57,ID,1690314044
